1000 0.0
1500 5.9947967529296874e-05
2000 2.005577087402344e-05
2500 4.001140594482422e-05
3000 7.995128631591796e-05
3500 1.999855041503906e-05
4000 6.000518798828125e-05
4500 3.9992332458496096e-05
5000 5.9995651245117184e-05
5500 8.010387420654297e-05
6000 9.985923767089843e-05
6500 0.00022943496704101564
7000 0.00016004562377929687
7500 0.00020003795623779296
8000 0.00021997451782226562
8500 0.0002800559997558594
9000 0.00033994674682617186
9500 0.0002799510955810547
10000 0.0005599164962768555
